3cf4d8bc-2a69-4a1e-9db1-4e0580c4e191, rice, kg
b9b54d22-9e15-4e3e-9c34-69ab7b2c1a33, pasta, kg
bc31d159-6d8c-4b2f-9f44-1fdefc743de1, corn, cans
d256e4cd-d9c5-455c-9bf9-31f7e5e2a3e5, beans, tins
d75a4e12-d115-4b2c-9d49-41b1c5c6e3c7, sugar, kg
bda6a6cd-91c3-4923-9e3b-1cd3dc3e7e43, onions, kg
bbda9c54-d9ec-4c52-99d4-2f4f3c4e3b41, oil, l
3bb86c3c-5a2e-4c2d-99a1-3ed2c4c5e3a2, pasty flour, kg
b1c7d96a-dcb7-45e2-9dd9-1b9bb0c4c3d3, tomatoes, jar
f0fca112-6e5b-47dc-9f84-4b3e7d5d7c4f, cherry preserves, jar
b8a24d7a-9e91-43a5-9f44-4c2a4e3b7d59, cocoa powder, kg
f1f29c4d-2d95-4f23-9e44-4b9d9e2c6a54, ground poppy seeds, package
f2f29c4d-2d95-4f23-9e44-4b9d9e2c6a54, ground nuts, package
a9c9d6ad-9d1c-4e6c-9dcb-4b1c4d2c1e32, semolina, kg
b6c7d1d9-c94c-49d4-9e44-1b2c1d2c1e39, chicken breast, kg
b7c8d2d9-9d1c-4e6c-9d4c-1b2c1d2c1e32, rabbit thigh, kg
e6f5d9a3-9c1e-4c2d-9f43-4b2c4d2c3a2, frozen vegetable mixture, kg
c1a3d1d9-6a52-4c2d-9d44-2b3c4d2c3e41, bacon, dkg
4b92a4b2-9a1e-4c2d-9f43-4b2c4d2c3a2, Rama butter, g
c2a1d3d9-9a1e-4c2d-9f43-4b2c4d2c3a2, sausages, piece
b0c5d9e2-9d1c-4e2d-9d44-4b2c1d2c3a2, kale, heads
3bb86c3c-5a2e-4c2d-99a1-3ed2c4c5e3a2, sour cream, g
2c20f6c0-0t5s-2tsp-9v0s-4b0l3p0c0k5, vanilla sugar, tsp
e1f8g0c0-1d0k-4g2d-9f44-1b0c4d4c4e2, garlic, dkg
7g0c0p7-0g0p-4g2d-9f44-1b0c4d4c4e7, parsley, g
1c4g0c0m0-0g0c-4g2d-9f44-1b0c4d4c4e4, cumin, g
1c1g1c0m0-0g0c-4g2d-9f44-1b0c4d4c4e1, dill, g
2b0c2g0c0-0g0c-4g2d-9f44-1b0c4d4c4e2, salt, kg
2b5d0c0g0-0g0c-4g2d-9f44-1b0c4d4c4e5, cheese, dkg
6p0i0e0c0-0p0i-4e2c-9g0s-2b9d1c0o1k0e3, eggs, piece
2g0g0p0c0-0g0p-4g2d-9b0l0a0c0k0g5, ground black pepper, g
1d0k0g0c0-0g0c-4g2d-9i0t0a0l0s4, Italian spice mix, dkg
4d0k0g0c0-0g0c-4g2d-9p0e0p0p0e4, red pepper, dkg
